,type,category,review,star,date,option,0,1,2
0,헤트라스,별점,"저는 카페를 운영하고 있어서 손님들이 많이 방문해주시는데 아무래도 카페 하면 분위기 잖아요?...
그래서, 사람들이 많이 선호한다던 쿠팡 1~2위 많이 사용해봤는데 그중에 코코xx디퓨저
같은 경우, 용량이 너무 적어서 발향이 잘 안되는거 같더라고요

다른 디퓨저 제품들은 너무 빨리 날라가서 금방 버리기도 하고, 손님들도 향기가 너무 저렴하다면서 어지럽다고 하는 분들도 계셔서
요번에 새롭게 바꿔보자해서 성수동 카페에서 봤던 헤트라스디퓨저를 구매 해봤네요~
5개 세트 구매 하고 2개는 집에서 사용하고 나머지 3개는 카페에서 이용하고 있는데, 제가 운영하는 카페에 헤트라스 디퓨저 디자인도 너무
찰떡이고 카페에 오시는 손님들도 디퓨저 어디 제품이냐고 많이들 물어보시네요!

안방이랑, 거실에 디퓨저 2개 놓았더니 하다 못해 남편도 집 들어오니깐 냄새 좋다고, 요번 디퓨저는 성공적인거 같다며
오랜만에 칭찬해줬네요 ㅎㅎ


간략하게 요약 하자면..

코코xx – 용량이나 크기가 엄청작아서 작은 사무실이나 소호사무실에서 사용 하실 분들은 코코xx(근데 금방 날라가고 용량대비 가격이 좀더 비쌈 )
헤트라스 – 디퓨저 용량도 크고, 니드스틱이 길어서 발향이 좋음, 디자인 감성은 너무 좋고
(손님들도 향 평가는 우수했네요 (용기가 유리가 아니지만 그래도 고급스러움 티안남)

향기에 대한 설명 입니다.

플라워샵 : 아무래도 카페다 보니, 화장실에는 플라워샵 향을 올려 놨는데
꽃집에 들어갈 때 나는 싱그러운 꽃향이라 여자분들이 좋아하네요~

그레이프프루트 : 저는 개인적으로 자몽향이 너무 좋네요. 그래서 카페 매장에 올려 놓았는데
손님들 반응이 너무 좋아요 아마 지금 계절이랑도 너무 잘 어울려서 그러는거 같아요~

블랙체리 : 남편이 담배를 피우고 옷 을 걸어놓아서.. 쩐내가…. 그래서 달달한 블랙체리 향으로
놓았는데 오픈 할 때부터 진짜 블랙체리향이 한 가득이네요.

허그솝 : 거실에다가 허그솝을 놓았는데 베란다에서 바람 솔솔 불면 섬유유연제 냄새가
살살 부는게 기분이 너무 좋은 코튼 향 이네요 :)

북스토어 : 아직 냄새만 맡고, 오픈 안했는데 카페 한 공간에 더 놓을 생각이네요.
살짝 냄새 맡았을때는 시크하고, 남자들이 쓰시기에는 좋을거 같아요 ~

용량도 대용량이라서, 오래 쓰겠지만 얼른 다 쓰고 2가지만 딱 정해서 카페랑 집에 향기로 도배 해버려야겠어요~
정말 솔직하게 작성하였습니다….",평점5,21.06.23.,수량 선택: 5개입(5가지 향 각 하나씩 포함) / 향 선택: 향 5종 모두 포함 / 5만원 이상 무료배송: 주문 금액 5만원 미만 시 적용되지 않습니다.,수량 선택: 5개입(5가지 향 각 하나씩 포함) , 향 선택: 향 5종 모두 포함 , 5만원 이상 무료배송: 주문 금액 5만원 미만 시 적용되지 않습니다.
1,헤트라스,별점,"1) 대용량이라 중간에 리드스틱 한번씩 방향 바꿔주고 교체해주면 되는 간편함이 좋아요
보통은 한달에 한번 주기로 디퓨저를 바꾸고는 했는데 번거롭지 않아서 좋습니다
가격도 합리적인 건 덤으로 좋구요!
2) 현관입구에는 플라워샵을 두었는데 집에 들어오기 전부터 꽃집향기가 납니다^^ 저희 남편이 좀 둔해서 디퓨저를 수없이 바꿀동안 한번도 듣지 못한 좋은 향이 난다는 이야기를 처음 들어보았습니다
3) 안방에는 블랙체리를 두었는데 달달한 향을 별로 에 침실 전체에 가득합니다
4) 거실에는 북스토어, 허그솝을 두었습니다
보통 다른 디퓨저들은 저희 집이 50평대라 향이 이렇게 느껴지지 않거나 미약하게 느껴지는데 정말
두 개가 아니라 하나씩만 놔도 좋을 것 같아요~!!!
심지어 대용량이라 반반 나누어서 아이들 방에 하나씩 더 놔주려고 합니다~
아이들 방에는 리드스틱 1~2개면 산뜻할 것 같아요
5) 화장실에는 그레이프를 두었는데 굿 초이스, ~


굳이 리드스틱 5개 다 안써도 될 정도에요
첫 구매라 잘 모르고 5개 다꽂았는데 2~3개면 충분할 것 같습니다
귀차니스트인데 한번에 다섯개씩 있어서 떨어질때 한번씩 주문하면 좋을 것 같아요!
!

단점은 선택을 할 수 있게 해주셨으면 하는 바램이 있어요
선택의 구성이 단조롭습니다~
추가로 아주 중요한 단점이 있었네요
제가 3월에 구매할때부터 베스트리뷰어를 선정하는 리뷰이벤트를 진행한다고 다른 구매자님들도 후기 남기시는 것 같던데 여기 리뷰이벤트 진행안합니다~!!
한번도 리뷰선정된 내역이 없어서 문의해봤더니 그동안 진행을 조금씩 하고 있으나 당첨자 발표 공지를 못했고 6월부터 진행한다고 합니다
참 별거 아니지만 발표공지도 못하는 이벤트를 해놓고 고객을 기망하는 행위는 안좋다고 봅니다
뭐 그래도 전 대용량에 귀찮은거 싫고 재구매 생각하고 다시 들어왔지만요",평점5,22.03.13.,수량 선택: 5개입(블랙체리플라워샵그레이프북스토어허그솝) / 향 선택: 향 5종(블랙체리플라워샵그레이프북스토어허그솝) / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 5개입(블랙체리플라워샵그레이프북스토어허그솝) , 향 선택: 향 5종(블랙체리플라워샵그레이프북스토어허그솝) , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
2,헤트라스,별점,제생각대로 후기써요. 택배 박스를 뜯자 마자 향이 코를 약올렸어요..(제품박스는 뜯지도 않았는데;; ) 저만 알고싶은 제품이었는데 아무래도 이런 완벽한 제품은 다른 분들도 알아야하는게 도리라고 생각해서 별점 일점 리뷰 달아요 누가봐도 초 저렴한 가격 보세요 그렇다고 용량이 작을까요?? 아니요 누가 그래요 무려 대용량 500ml에요 이게 말이 되나 싶네요. 그리고 또 디자인은 얼마나 고급스러운지 집에 오는 친구들이 너 요즘 집 꾸미냐고 할 정도에요ㅠㅠ (참고로 저 집청소도 잘 안해욬ㅋㅋ) 향은 제가 꽃향을 좋아해서 플라워샵 먼저쓰고 있는데 창 밖에 꽃 들이 바람에 날려 은은하게 풍기는 듯한 향들이 힐링되면서 마음이 편해져요.. 자기 전에 눈감으면서 냄새 맡으면 잡생각도 안하고 바로 기절하듯이 자버려요 요즘이걸로 스트레스 풀어요 스틱은 엄청 길어서 높이가 안맞으시면 잘라서 사용해도 충분히 멀리 퍼지네요. 손잡이 달려있어서 친구에게 선물 줄 때 괜찮은 것 같아요. 선물용으로 만드신게 아닐까 하는 생 각이드네용 이상 저 혼자 쓰기 아까워서 적어 본 리뷰였습니다... 후회안사길꺼예요 선물용으로도 강추,평점1,21.06.25.,수량 선택: 5개입(5가지 향 각 하나씩 포함) / 향 선택: 향 5종 모두 포함 / 5만원 이상 무료배송: 주문 금액 5만원 미만 시 적용되지 않습니다.,수량 선택: 5개입(5가지 향 각 하나씩 포함) , 향 선택: 향 5종 모두 포함 , 5만원 이상 무료배송: 주문 금액 5만원 미만 시 적용되지 않습니다.
3,헤트라스,별점,"전체적으로 향들이 부담스럽거나 메스껍지 않고 쨍하거나 너무 거슬리지도 않으면서 매우 향기롭습니다 발향도 약하지 않으니 스틱을 적게 꽂아도 너무 향이 고급지게 잘 나는 것 같습니다 그렇다고 발향이 강해서 나는 부작용 예를 들어 차량에 저렴한 디퓨저나 고체 방향제를 쓰면 나는 그런 쨍하고 메스꺼운 향이 아니라 그런 느낌없이 아주 고급지고 부드러운 향입니다 거실 같은 넓은 공간이 아니라면 발향이 강해 스틱 개수를 조절하시는 편이 좋고 넓은 거실이나 사무실, 가게에서 쓰시는 거면 스틱을 많이 쓰시는게 좋을꺼 같은 느낌이에요 향기가 너무좋아 재구매 의향 완전 있고요 용량에 비해 가격도 합리적이고 디자인도 너무 튀거나 하지 않아서 인테리어에 잘 녹아드는 느낌의 디자인이에요 유리가 아니라서 안전하고 무난하게 쓰는데 꼭 유리로 된 느낌의 디자인이라서 좀더 고급져보여요 전체적인 향을 다 맡아 보고 싶어서 두 세트다 구매를 했는데 전혀 아쉽지않은 선택이였어요 물론 모든 향이 저의 취향은 아니였지만 취향이 아니다 뿐이지 결코 싫은 향이거나 거부감이 드는 향은 아니였어요",평점5,22.10.17.,대용량 디퓨저 선택: 5개입 / 향 선택: 2. 그린세트 5개입 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 선택: 5개입 , 향 선택: 2. 그린세트 5개입 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
4,헤트라스,별점,"향기가 진짜 고급스럽습니다. 보통 니치향수 브랜드에서 나오는 향을 레퍼런스해서 만든 제품들 실제로 향기 맡아보면 전혀 비슷하지 않은건 물론이고 싸구려 방향제 냄새가 나는 경우가 진짜 많은데, 여기 제품은 향이 일단 고급스러워요. 일관련해서 카페에 추천해드렸는데 원래 쓰던 제품 그*핸즈의 규* 제품과 비슷합니다. 케이스는 플라스틱이긴해도 만져보지 않는한 크게 표시는 안나요. 케이스에서 거품을 빼고 합리적인 가격대로 나오는게 훨씬 더 좋은거 같네요. 매장 여기저기 배치해봤는데 어디든 너무 찰떡같이 잘 어울립니다. 이 제품 맘에 들어서 플라워샵도 주문해봤는데 둘을 비교한다면 호텔우드가 발향은 약합니다. 발향이 센 제품은 습도가 있는곳에서 사용해도 향이 꽤 느껴지구요, 향이 약한건 건조한 공간에서 사용해야 하는거 같아요.",평점4,22.09.27.,대용량 디퓨저 선택: 2개입 / 향 선택: 호텔우드 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 선택: 2개입 , 향 선택: 호텔우드 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
5,헤트라스,별점,향에 민감한 엄마가 좋다고 한 향 입니다. 인공적인 향 싫어하시는 분들한테 맞지 않을까해요.다른 브랜드 꽃집 향 써봤는데 이게 더 좋네요.패키지가 예뻐서 선물용으로도 좋고 인테리어에도 무난히 어울려요.시향지로 받은 사려니숲향이 좋아서 다른것들도 궁금한데 구매자 추가옵션에 시향세트도 천원정도로 있다면 좋을것같은데 재고해보심이 어떨까요.다음번에는 5개짜리 사서 대표향 하나씩 써보고 정착할 향 찾아보려고요. 관심없는 향 대신 관심가는 향으로 구성해서 사고싶은데 제작된 패키지는 개인 사용하는거면 그 정도로 예쁠 필요없으니 그냥 골라서 살 수 있는 옵션도 추가할 수 있다면 이것도 재고해주세요.,평점5,22.06.07.,수량 선택: 5개입(5가지 향 각 하나씩 포함) / 향 선택: 향 5종 모두 포함 / 5만원 이상 무료배송: 주문 금액 5만원 미만 시 적용되지 않습니다.,수량 선택: 5개입(5가지 향 각 하나씩 포함) , 향 선택: 향 5종 모두 포함 , 5만원 이상 무료배송: 주문 금액 5만원 미만 시 적용되지 않습니다.
6,헤트라스,별점,"저는 카페를 운영하고 있어서 손님들이 많이 방문해주시는데 아무래도 카페 하면 분위기 잖아요?...
그래서, 사람들이 많이 선호한다던 쿠팡 1~2위 많이 사용해봤는데 그중에 코코xx디퓨저
같은 경우, 용량이 너무 적어서 발향이 잘 안되는거 같더라고요

다른 디퓨저 제품들은 너무 빨리 날라가서 금방 버리기도 하고, 손님들도 향기가 너무 저렴하다면서 어지럽다고 하는 분들도 계셔서
요번에 새롭게 바꿔보자해서 성수동 카페에서 봤던 헤트라스디퓨저를 구매 해봤네요~
5개 세트 구매 하고 2개는 집에서 사용하고 나머지 3개는 카페에서 이용하고 있는데, 제가 운영하는 카페에 헤트라스 디퓨저 디자인도 너무
찰떡이고 카페에 오시는 손님들도 디퓨저 어디 제품이냐고 많이들 물어보시네요!

안방이랑, 거실에 디퓨저 2개 놓았더니 하다 못해 남편도 집 들어오니깐 냄새 좋다고, 요번 디퓨저는 성공적인거 같다며
오랜만에 칭찬해줬네요 ㅎㅎ


간략하게 요약 하자면..

코코xx – 용량이나 크기가 엄청작아서 작은 사무실이나 소호사무실에서 사용 하실 분들은 코코xx(근데 금방 날라가고 용량대비 가격이 좀더 비쌈 )
헤트라스 – 디퓨저 용량도 크고, 니드스틱이 길어서 발향이 좋음, 디자인 감성은 너무 좋고
(손님들도 향 평가는 우수했네요 (용기가 유리가 아니지만 그래도 고급스러움 티안남)

향기에 대한 설명 입니다.

플라워샵 : 아무래도 카페다 보니, 화장실에는 플라워샵 향을 올려 놨는데
꽃집에 들어갈 때 나는 싱그러운 꽃향이라 여자분들이 좋아하네요~

그레이프프루트 : 저는 개인적으로 자몽향이 너무 좋네요. 그래서 카페 매장에 올려 놓았는데
손님들 반응이 너무 좋아요 아마 지금 계절이랑도 너무 잘 어울려서 그러는거 같아요~

블랙체리 : 남편이 담배를 피우고 옷 을 걸어놓아서.. 쩐내가…. 그래서 달달한 블랙체리 향으로
놓았는데 오픈 할 때부터 진짜 블랙체리향이 한 가득이네요.

허그솝 : 거실에다가 허그솝을 놓았는데 베란다에서 바람 솔솔 불면 섬유유연제 냄새가
살살 부는게 기분이 너무 좋은 코튼 향 이네요 :)

북스토어 : 아직 냄새만 맡고, 오픈 안했는데 카페 한 공간에 더 놓을 생각이네요.
살짝 냄새 맡았을때는 시크하고, 남자들이 쓰시기에는 좋을거 같아요 ~

용량도 대용량이라서, 오래 쓰겠지만 얼른 다 쓰고 2가지만 딱 정해서 카페랑 집에 향기로 도배 해버려야겠어요~
정말 솔직하게 작성하였습니다….",평점5,21.06.23.,수량 선택: 5개입(블랙체리플라워샵그레이프북스토어허그솝) / 향 선택: 향 5종(블랙체리플라워샵그레이프북스토어허그솝) / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 5개입(블랙체리플라워샵그레이프북스토어허그솝) , 향 선택: 향 5종(블랙체리플라워샵그레이프북스토어허그솝) , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
7,헤트라스,별점,"1) 대용량이라 중간에 리드스틱 한번씩 방향 바꿔주고 교체해주면 되는 간편함이 좋아요
보통은 한달에 한번 주기로 디퓨저를 바꾸고는 했는데 번거롭지 않아서 좋습니다
가격도 합리적인 건 덤으로 좋구요!
2) 현관입구에는 플라워샵을 두었는데 집에 들어오기 전부터 꽃집향기가 납니다^^ 저희 남편이 좀 둔해서 디퓨저를 수없이 바꿀동안 한번도 듣지 못한 좋은 향이 난다는 이야기를 처음 들어보았습니다
3) 안방에는 블랙체리를 두었는데 달달한 향을 별로 에 침실 전체에 가득합니다
4) 거실에는 북스토어, 허그솝을 두었습니다
보통 다른 디퓨저들은 저희 집이 50평대라 향이 이렇게 느껴지지 않거나 미약하게 느껴지는데 정말
두 개가 아니라 하나씩만 놔도 좋을 것 같아요~!!!
심지어 대용량이라 반반 나누어서 아이들 방에 하나씩 더 놔주려고 합니다~
아이들 방에는 리드스틱 1~2개면 산뜻할 것 같아요
5) 화장실에는 그레이프를 두었는데 굿 초이스, ~


굳이 리드스틱 5개 다 안써도 될 정도에요
첫 구매라 잘 모르고 5개 다꽂았는데 2~3개면 충분할 것 같습니다
귀차니스트인데 한번에 다섯개씩 있어서 떨어질때 한번씩 주문하면 좋을 것 같아요!
!

단점은 선택을 할 수 있게 해주셨으면 하는 바램이 있어요
선택의 구성이 단조롭습니다~
추가로 아주 중요한 단점이 있었네요
제가 3월에 구매할때부터 베스트리뷰어를 선정하는 리뷰이벤트를 진행한다고 다른 구매자님들도 후기 남기시는 것 같던데 여기 리뷰이벤트 진행안합니다~!!
한번도 리뷰선정된 내역이 없어서 문의해봤더니 그동안 진행을 조금씩 하고 있으나 당첨자 발표 공지를 못했고 6월부터 진행한다고 합니다
참 별거 아니지만 발표공지도 못하는 이벤트를 해놓고 고객을 기망하는 행위는 안좋다고 봅니다
뭐 그래도 전 대용량에 귀찮은거 싫고 재구매 생각하고 다시 들어왔지만요",평점5,22.03.13.,대용량 디퓨저 선택: 5개입 / 향 선택: 2. 그린세트 5개입 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 선택: 5개입 , 향 선택: 2. 그린세트 5개입 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
8,헤트라스,별점,"전체적으로 향들이 부담스럽거나 메스껍지 않고 쨍하거나 너무 거슬리지도 않으면서 매우 향기롭습니다 발향도 약하지 않으니 스틱을 적게 꽂아도 너무 향이 고급지게 잘 나는 것 같습니다 그렇다고 발향이 강해서 나는 부작용 예를 들어 차량에 저렴한 디퓨저나 고체 방향제를 쓰면 나는 그런 쨍하고 메스꺼운 향이 아니라 그런 느낌없이 아주 고급지고 부드러운 향입니다 거실 같은 넓은 공간이 아니라면 발향이 강해 스틱 개수를 조절하시는 편이 좋고 넓은 거실이나 사무실, 가게에서 쓰시는 거면 스틱을 많이 쓰시는게 좋을꺼 같은 느낌이에요 향기가 너무좋아 재구매 의향 완전 있고요 용량에 비해 가격도 합리적이고 디자인도 너무 튀거나 하지 않아서 인테리어에 잘 녹아드는 느낌의 디자인이에요 유리가 아니라서 안전하고 무난하게 쓰는데 꼭 유리로 된 느낌의 디자인이라서 좀더 고급져보여요 전체적인 향을 다 맡아 보고 싶어서 두 세트다 구매를 했는데 전혀 아쉽지않은 선택이였어요 물론 모든 향이 저의 취향은 아니였지만 취향이 아니다 뿐이지 결코 싫은 향이거나 거부감이 드는 향은 아니였어요",평점5,22.10.17.,수량 선택: 2개입 / 향 선택: 제주사려니숲길 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 제주사려니숲길 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
9,헤트라스,별점,"자발적 리뷰를 쓰게 하네요. 디퓨저를 많이 써 본건 아니지만 가성비 갑이라는 거 인정! 생김새도 이쁘고 향기 퀄리티도 엄청나네요. 다른 향은 모르겠지만 호텔우드, 북스토어, 제주사려니숲길을 구입했고 다 만족합니다. 호텔우드가 가장 취향이네요. 설명충이 되고싶은데 좀 참도록하고ㅎ 요약하면 호텔우드는 고급지고 중후한느낌 , 북스토어는 편백냄새가 주로 느껴지고 , 제주사려니숲길은 설명이 어렵지만 달달한 느낌이면서 자연적인 느낌이네요. 디퓨저를 구매할 때 어떤 향인지 맡아 볼수가 없으니 답답했었는데... '에라 모르겠다 궁금한 거 다 사자!' 라고 해서 다 만족 할 줄은 몰랐습니다. 나무향을 좋아하시는 분들이라면 3가지 다 좋아하실거 같고 그 중 사려니 숲길은 약간 여성스러운 느낌이 있습니다. 향이 궁금해서 고민하시는 분들이 이 글을 읽고 도움이 되셨으면 하네요ㅎ. 사고나서 싸구려라는 느낌은 안받으실 겁니다!(어감이 별로지만 이것도 중요하니깐ㅎ)",평점5,22.03.06.,대용량 디퓨저 선택: 2개입 / 향 선택: 호텔우드 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 선택: 2개입 , 향 선택: 호텔우드 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
